timestamp,capture_ms,inference_ms,postprocess_ms,loop_ms,fps,num_detections,max_score
1773329549.2089365,32.285,14.251,0.013,65.773,15.20,0,0.000
1773329549.2753499,31.946,14.260,0.013,65.530,15.26,0,0.000
1773329549.342038,34.013,14.415,0.012,65.763,15.21,0,0.000
1773329549.4087503,32.337,14.335,0.013,65.510,15.26,0,0.000
1773329549.4759624,32.511,14.495,0.014,66.149,15.12,0,0.000
1773329549.542224,28.657,14.340,0.013,62.522,15.99,0,0.000
1773329549.6093595,31.953,14.282,0.012,66.177,15.11,0,0.000
1773329549.6753726,31.390,17.304,0.012,65.205,15.34,0,0.000
1773329549.741942,32.161,14.257,0.011,65.618,15.24,0,0.000
1773329549.8134203,33.097,14.973,0.013,70.684,14.15,0,0.000
1773329549.8754117,31.145,14.485,0.014,60.963,16.40,0,0.000
1773329549.9425735,32.776,15.285,0.014,66.364,15.07,0,0.000
1773329550.0091004,32.225,15.047,0.014,65.497,15.27,0,0.000
1773329550.0780113,33.538,15.005,0.016,67.444,14.83,0,0.000
1773329550.1420562,29.582,14.716,0.012,62.938,15.89,0,0.000
1773329550.2089064,35.025,15.379,0.014,65.936,15.17,0,0.000
1773329550.2755377,32.441,15.563,0.015,65.664,15.23,0,0.000
1773329550.3420742,33.950,14.924,0.012,65.556,15.25,0,0.000
1773329550.4102201,32.223,14.784,0.013,67.085,14.91,0,0.000
1773329550.4755507,30.147,14.737,0.014,64.131,15.59,0,0.000
1773329550.5420768,31.959,15.103,0.014,65.397,15.29,0,0.000
1773329550.608712,31.895,14.855,0.013,65.787,15.20,0,0.000
1773329550.675176,32.485,15.481,0.016,65.383,15.29,0,0.000
1773329550.7423468,32.125,17.607,0.015,66.352,15.07,0,0.000
1773329550.8135052,31.564,14.936,0.014,70.173,14.25,0,0.000
1773329550.875347,26.958,15.443,0.015,60.666,16.48,0,0.000
1773329550.9421537,32.184,14.958,0.016,65.804,15.20,0,0.000
1773329551.008522,31.809,15.260,0.016,65.437,15.28,0,0.000
1773329551.0749092,33.746,14.668,0.013,65.234,15.33,0,0.000
1773329551.1418462,32.276,14.989,0.012,66.115,15.13,0,0.000
1773329551.2082958,32.020,14.768,0.013,65.347,15.30,0,0.000
1773329551.2752137,32.106,14.970,0.015,66.098,15.13,0,0.000
1773329551.3414576,35.331,14.767,0.014,65.173,15.34,0,0.000
1773329551.4083028,32.201,14.993,0.014,66.020,15.15,0,0.000
1773329551.4749286,32.103,15.183,0.014,65.655,15.23,0,0.000
1773329551.5422506,32.177,14.760,0.012,66.498,15.04,0,0.000
1773329551.6110275,31.855,17.900,0.013,67.416,14.83,0,0.000
